Duration,Mem,Cpu
39,713396224,4
39,713396224,4
39,713015296,4
38,712503296,4
38,712376320,4
38,713416704,4
38,713416704,4
38,716115968,4
38,715608064,4
38,715366400,4
38,714727424,4
38,714350592,4
38,714215424,4
38,714072064,4
38,713854976,4
38,713736192,4
38,713224192,4
38,713244672,4
38,713625600,4
38,713256960,4
38,713383936,4
38,713396224,4
38,713015296,4
37,712253440,4
37,713416704,4
37,715112448,4
37,715112448,4
37,714989568,4
37,714862592,4
37,714592256,4
37,714227712,4
37,714223616,4
37,714113024,4
37,713977856,4
37,713736192,4
37,713351168,4
37,713117696,4
36,715235328,4
36,714854400,4
36,712622080,4
36,712478720,4
36,712126464,4
36,713416704,4
36,716115968,4
36,715608064,4
36,715362304,4
36,714727424,4
36,714342400,4
36,714608640,4
36,714072064,4
36,713854976,4
36,713990144,4
36,713863168,4
36,713732096,4
36,713232384,4
36,713486336,4
36,713244672,4
35,715108352,4
35,715235328,4
35,713949184,4
35,713158656,4
35,712253440,4
35,713416704,4
35,716357632,4
35,715612160,4
35,715616256,4
35,714989568,4
35,714608640,4
35,714989568,4
35,714989568,4
35,714727424,4
35,714342400,4
35,714346496,4
35,714211328,4
35,714223616,4
35,713863168,4
35,713478144,4
35,713625600,4
35,713244672,4
35,713383936,4
35,713396224,4
34,714600448,4
34,712249344,4
34,712368128,4
34,713289728,4
34,715485184,4
34,714072064,4
34,713244672,4
34,713502720,4
34,713388032,4
33,712126464,4
33,713416704,4
33,713256960,4
33,716357632,4
33,715481088,4
33,715735040,4
33,715362304,4
33,715362304,4
33,715112448,4
33,715239424,4
33,714342400,4
33,714215424,4
33,714600448,4
33,714096640,4
33,713396224,4
32,713637888,4
32,712503296,4
32,712503296,4
32,716103680,4
32,715612160,4
32,715362304,4
32,715112448,4
32,715112448,4
32,714985472,4
32,714350592,4
32,714342400,4
32,713863168,4
32,713887744,4
32,713510912,4
32,713637888,4
31,712503296,4
31,716103680,4
31,715608064,4
31,715608064,4
31,715612160,4
31,715612160,4
31,715362304,4
31,714989568,4
31,714469376,4
31,714342400,4
31,714215424,4
31,714608640,4
31,713854976,4
31,713256960,4
30,714854400,4
30,712495104,4
30,712495104,4
30,712503296,4
30,713416704,4
30,713416704,4
30,716476416,4
30,715976704,4
30,716103680,4
30,715739136,4
30,715739136,4
30,715841536,4
30,715493376,4
30,714858496,4
30,714731520,4
30,714342400,4
30,714469376,4
30,714215424,4
30,714469376,4
30,714600448,4
30,714600448,4
30,714575872,4
30,713498624,4
30,713510912,4
30,713375744,4
30,713019392,4
29,714727424,4
29,712376320,4
29,712126464,4
29,715841536,4
29,714604544,4
29,714342400,4
29,714727424,4
29,714600448,4
29,713351168,4
29,713244672,4
29,713117696,4
29,712892416,4
29,712765440,4
28,713162752,4
28,712495104,4
28,716103680,4
28,715108352,4
28,715112448,4
28,714862592,4
28,714088448,4
28,713732096,4
27,715108352,4
27,712757248,4
27,713392128,4
27,713416704,4
27,715739136,4
27,714858496,4
27,714735616,4
27,714989568,4
27,714727424,4
27,714350592,4
27,714469376,4
27,714215424,4
27,714223616,4
27,713490432,4
27,713396224,4
27,713396224,4
26,716099584,4
26,715988992,4
26,715108352,4
26,714608640,4
26,714223616,4
26,713486336,4
25,716603392,4
25,715739136,4
25,714350592,4
25,714215424,4
25,714354688,4
25,714473472,4
25,713863168,4
25,713383936,4
25,713269248,4
24,713162752,4
24,712380416,4
24,715739136,4
24,714600448,4
23,714727424,4
23,714727424,4
23,714862592,4
22,713314304,4
22,713416704,4
20,714719232,4
19,713822208,4
196,716115968,3
195,712495104,3
192,715739136,3
190,716115968,3
190,714727424,3
187,712495104,3
187,716353536,3
180,712863744,3
179,713244672,3
168,713244672,3
162,715739136,3
162,713244672,3
161,713396224,3
160,715231232,3
160,713736192,3
158,713760768,3
154,715489280,3
152,713142272,3
151,714223616,3
150,714223616,3
150,713113600,3
149,716361728,3
147,713019392,3
145,713244672,3
145,712998912,3
142,716468224,3
142,713609216,3
138,714600448,3
137,714215424,3
137,713760768,3
134,716242944,3
134,713760768,3
130,714096640,3
130,713224192,3
128,713760768,3
127,715489280,3
126,715112448,3
125,714862592,3
124,712990720,3
123,714735616,3
121,714985472,3
121,714702848,3
121,713760768,3
120,712876032,3
119,713498624,3
116,711237632,3
116,715239424,3
115,716730368,3
115,713506816,3
115,713142272,3
113,713220096,3
111,713408512,3
111,715231232,3
110,716603392,3
109,716361728,3
108,714600448,3
107,711245824,3
107,716361728,3
106,715608064,3
105,713379840,3
104,715362304,3
103,716115968,3
102,713728000,3
101,711118848,3
100,714854400,3
100,713469952,3
100,713244672,3
100,713760768,3
100,713256960,3
99,716730368,3
99,715612160,3
99,712863744,3
97,715112448,3
97,714223616,3
97,713256960,3
96,715235328,3
96,714723328,3
96,713351168,3
95,713256960,3
94,712478720,3
94,714985472,3
94,714600448,3
94,713351168,3
94,713134080,3
